  name ,  product_category_id,  image_address_front,  image_address_back,  image_address_insideout_front,  image_address_insideout_back,  brief_description,  description,  price,  stock,  customer_type_id
Apex Flow Men's Triathalon Suit,1,https://www.orca.com/uploads/products/large/mn11tt42-01-orca-apex-flow-men-triathlon-wetsuit-silver-total_750x1000_750x1000.jpg,https://www.orca.com/uploads/products/large/mn11tt42-02-orca-apex-flow-men-triathlon-wetsuit-silver-total_750x1000.jpg,https://www.orca.com/uploads/products/large/mn11tt42-03-orca-apex-flow-men-triathlon-wetsuit-silver-total_750x1000.jpg,https://www.orca.com/uploads/products/large/mn11tt42-04-orca-apex-flow-men-triathlon-wetsuit-silver-total_750x1000.jpg,"(R)evolution of the Predator, the most advanced wetsuit in our range.","The Apex Flow is a new (r)evolution of the Orca Predator. The new Apex Flow is the most advanced triathlon wetsuit in our range, thanks to its unique flexibility and buoyancy. Designed for the most advanced open water swimmers, this suit features the best materials and technologies on the market. It is designed to maximize the elevation of the legs, helping to correct posture and keeping the body in the most hydrodynamic position possible. With your purchase of this wetsuit, you will get a waterproof Mesh Backpack as a gift, perfect for carrying your wetsuit and swimming gear.",975.00,10,1
Apex Flex Men Triathlon Wetsuit,1,https://www.orca.com/uploads/products/large/mn12tt43-01-orca-apex-flex-men-triathlon-wetsuit-blue-flex_750x1000.jpg,https://www.orca.com/uploads/products/large/mn12tt43-02-orca-apex-flex-men-triathlon-wetsuit-blue-flex_750x1000.jpg,https://www.orca.com/uploads/products/large/mn12tt43-03-orca-apex-flex-men-triathlon-wetsuit-blue-flex_750x1000.jpg,https://www.orca.com/uploads/products/large/mn12tt43-04-orca-apex-flex-men-triathlon-wetsuit-blue-flex_750x1000.jpg,"(R)evolution of the Alpha, the most flexible wetsuit in our range.","The Apex Flex is a new (r)evolution of the Orca Alpha. The new Apex Flex triathlon wetsuit is the most flexible wetsuit in the entire Orca range. It is designed for the most technical swimmers, those who benefit from more flexibility and do not need extra buoyancy. The construction of the short, inverted zipper allows for a more elastic design. This, in combination with the most flexible materials on the market with the most hydrodynamic properties, make it the fastest wetsuit for the best open water swimmers. With your purchase of this wetsuit, you will get a waterproof Mesh Backpack as a gift, perfect for carrying your wetsuit and swimming gear.",719.00,20,1
Apex Float Men Trathlon Wetsuit,1,https://www.orca.com/uploads/products/large/mn11tt42-01-orca-apex-flow-men-triathlon-wetsuit-silver-total_750x1000_750x1000.jpg,https://www.orca.com/uploads/products/large/mn11tt42-02-orca-apex-flow-men-triathlon-wetsuit-silver-total_750x1000.jpg,https://www.orca.com/uploads/products/large/mn11tt42-03-orca-apex-flow-men-triathlon-wetsuit-silver-total_750x1000.jpg,https://www.orca.com/uploads/products/large/mn11tt42-04-orca-apex-flow-men-triathlon-wetsuit-silver-total_750x1000.jpg,"(R)evolution of the 3.8, the most bouyant wetsuit in our range.","The Apex Flow is a new (r)evolution of the Orca Predator. The new Apex Flow is the most advanced triathlon wetsuit in our range, thanks to its unique flexibility and buoyancy. Designed for the most advanced open water swimmers, this suit features the best materials and technologies on the market. It is designed to maximize the elevation of the legs, helping to correct posture and keeping the body in the most hydrodynamic position possible. With your purchase of this wetsuit, you will get a waterproof Mesh Backpack as a gift, perfect for carrying your wetsuit and swimming gear.",619.00,13,1
Athlex Flow Men Triathlon Wetsuit,1,https://www.orca.com/uploads/products/large/mn14tt42-01-orca-athlex-flow-men-triathlon-wetsuit-silver-total_750x1000.jpg,https://www.orca.com/uploads/products/large/mn14tt42-02-orca-athlex-flow-men-triathlon-wetsuit-silver-total_750x1000.jpg,https://www.orca.com/uploads/products/large/mn14tt42-03-orca-athlex-flow-men-triathlon-wetsuit-silver-total_750x1000.jpg,https://www.orca.com/uploads/products/large/mn14tt42-04-orca-athlex-flow-men-triathlon-wetsuit-silver-total_750x1000.jpg,"(R)evolution of the Sonar, the most balanced wetsuit in our range.","The Athlex Flow is a new (r)evolution of the Orca Sonar. The new Athlex Flow triathlon wetsuit is the perfect balance between elasticity and buoyancy. High-elasticity materials are incorporated in the upper body, while buoyancy technologies are featured in the legs. These technologies allow the swimmer to correct their position in the water, achieving a more hydrodynamic posture. With your purchase of this wetsuit, you will get a waterproof Mesh Backpack as a gift, perfect for carrying your wetsuit and swimming gear.",519.00,24,1
Athlex Flex Men Triathlon Wetsuit,1,https://www.orca.com/uploads/products/large/mn15tt43-01-orca-athlex-flex-men-triathlon-wetsuit-blue-flex_750x1000.jpg,https://www.orca.com/uploads/products/large/mn15tt43-02-orca-athlex-flex-men-triathlon-wetsuit-blue-flex_750x1000.jpg,https://www.orca.com/uploads/products/large/mn15tt43-03-orca-athlex-flex-men-triathlon-wetsuit-blue-flex_750x1000.jpg,https://www.orca.com/uploads/products/large/mn15tt43-04-orca-athlex-flex-men-triathlon-wetsuit-blue-flex_750x1000.jpg,"(R)evolution of the Equip, a wetsuit with high flexibilty","The Athlex Flex is a new (r)evolution of the Orca Equip. The new Athlex Flex triathlon wetsuit offers a combination of high elasticity and neutral buoyancy, for swimmers who are able to maintain a good position in the water without added buoyancy. The thin material in the upper body and medium-weight material in the legs result in a wetsuit that provides maximum freedom of movement.",399.00,32,1
Athlex Float Float Men Triathlon Wetsuit,1,https://www.orca.com/uploads/products/large/mn16tt44-01-orca-athlex-float-men-triathlon-wetsuit-red-buoyancy_750x1000.jpg,https://www.orca.com/uploads/products/large/mn16tt44-02-orca-athlex-float-men-triathlon-wetsuit-red-buoyancy_750x1000.jpg,https://www.orca.com/uploads/products/large/mn16tt44-03-orca-athlex-float-men-triathlon-wetsuit-red-buoyancy_750x1000.jpg,https://www.orca.com/uploads/products/large/mn16tt44-04-orca-athlex-float-men-triathlon-wetsuit-red-buoyancy_750x1000.jpg,"(R)evolution of the S7, a wetsuit with high buoyancy.","The Athlex Float is a new (r)evolution of the Orca S7. The new Athlex Float triathlon wetsuit combines high buoyancy with high elasticity, resulting in a very balanced wetsuit for swimmers who need added buoyancy to correct their positioning in the water. Thinner upper body and thick leg materials allow swimmers to tackle triathlons with confidence.",299.00,13,1
Apex Flow Women Triathalon Suit,1,https://www.orca.com/uploads/products/large/mn51tt42-01-orca-apex-flow-women-triathlon-wetsuit-silver-total_750x1000.jpg,https://www.orca.com/uploads/products/large/mn51tt42-02-orca-apex-flow-women-triathlon-wetsuit-silver-total_750x1000.jpg,https://www.orca.com/uploads/products/large/mn51tt42-03-orca-apex-flow-women-triathlon-wetsuit-silver-total_750x1000.jpg,https://www.orca.com/uploads/products/large/mn51tt42-04-orca-apex-flow-women-triathlon-wetsuit-silver-total_750x1000.jpg,"(R)evolution of the Predator, the most advanced wetsuit in our range.","The Apex Flow is a new (r)evolution of the Orca Predator. The new Apex Flow is the most advanced triathlon wetsuit in our range, thanks to its unique flexibility and buoyancy. Designed for the most advanced open water swimmers, this suit features the best materials and technologies on the market. It is designed to maximize the elevation of the legs, helping to correct posture and keeping the body in the most hydrodynamic position possible. With your purchase of this wetsuit, you will get a waterproof Mesh Backpack as a gift, perfect for carrying your wetsuit and swimming gear.",975.00,10,2
Apex Flex Women Triathlon Wetsuit,1,https://www.orca.com/uploads/products/large/mn52tt43-01-orca-apex-flex-women-triathlon-wetsuit-blue-flex_750x1000_750x1000.jpg,https://www.orca.com/uploads/products/large/mn52tt43-02-orca-apex-flex-women-triathlon-wetsuit-blue-flex_750x1000.jpg,https://www.orca.com/uploads/products/large/mn52tt43-03-orca-apex-flex-women-triathlon-wetsuit-blue-flex_750x1000.jpg,https://www.orca.com/uploads/products/large/mn52tt43-04-orca-apex-flex-women-triathlon-wetsuit-blue-flex_750x1000.jpg,"(R)evolution of the Alpha, the most flexible wetsuit in our range.","The Apex Flex is a new (r)evolution of the Orca Alpha. The new Apex Flex triathlon wetsuit is the most flexible wetsuit in the entire Orca range. It is designed for the most technical swimmers, those who benefit from more flexibility and do not need extra buoyancy. The construction of the short, inverted zipper allows for a more elastic design. This, in combination with the most flexible materials on the market with the most hydrodynamic properties, make it the fastest wetsuit for the best open water swimmers. With your purchase of this wetsuit, you will get a waterproof Mesh Backpack as a gift, perfect for carrying your wetsuit and swimming gear.",719.00,20,2
Apex Float Women Trathlon Wetsuit,1,https://www.orca.com/uploads/products/large/mn53tt44-01-orca-apex-float-women-triathlon-wetsuit-red-buoyancy_750x1000.jpg,https://www.orca.com/uploads/products/large/mn53tt44-02-orca-apex-float-women-triathlon-wetsuit-red-buoyancy_750x1000.jpg,https://www.orca.com/uploads/products/large/mn53tt44-03-orca-apex-float-women-triathlon-wetsuit-red-buoyancy_750x1000.jpg,https://www.orca.com/uploads/products/large/mn53tt44-04-orca-apex-float-women-triathlon-wetsuit-red-buoyancy_750x1000.jpg,"(R)evolution of the 3.8, the most bouyant wetsuit in our range.","The Apex Flow is a new (r)evolution of the Orca Predator. The new Apex Flow is the most advanced triathlon wetsuit in our range, thanks to its unique flexibility and buoyancy. Designed for the most advanced open water swimmers, this suit features the best materials and technologies on the market. It is designed to maximize the elevation of the legs, helping to correct posture and keeping the body in the most hydrodynamic position possible. With your purchase of this wetsuit, you will get a waterproof Mesh Backpack as a gift, perfect for carrying your wetsuit and swimming gear.",619.00,13,2
Athlex Flow Women Triathlon Wetsuit,1,https://www.orca.com/uploads/products/large/mn54tt42-01-orca-athlex-flow-women-triathlon-wetsuit-silver-total_750x1000.jpg,https://www.orca.com/uploads/products/large/mn54tt42-02-orca-athlex-flow-women-triathlon-wetsuit-silver-total_750x1000.jpg,https://www.orca.com/uploads/products/large/mn54tt42-03-orca-athlex-flow-women-triathlon-wetsuit-silver-total_750x1000.jpg,https://www.orca.com/uploads/products/large/mn54tt42-04-orca-athlex-flow-women-triathlon-wetsuit-silver-total_750x1000.jpg,"(R)evolution of the Sonar, the most balanced wetsuit in our range.","The Athlex Flow is a new (r)evolution of the Orca Sonar. The new Athlex Flow triathlon wetsuit is the perfect balance between elasticity and buoyancy. High-elasticity materials are incorporated in the upper body, while buoyancy technologies are featured in the legs. These technologies allow the swimmer to correct their position in the water, achieving a more hydrodynamic posture. With your purchase of this wetsuit, you will get a waterproof Mesh Backpack as a gift, perfect for carrying your wetsuit and swimming gear.",519.00,24,2
